Data Source,World Development Indicators,,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Total fisheries production (metric tons),ER.FSH.PROD.MT,150,149.5,150,164.5,161.5,166.5,173.5,
Africa Eastern and Southern,AFE,Total fisheries production (metric tons),ER.FSH.PROD.MT,3792847.88,3897511.9,3883753.45,3821770.86,3805060.99,4097350.48,3725334.12,
Afghanistan,AFG,Total fisheries production (metric tons),ER.FSH.PROD.MT,8050,9000,10000,10729,11444,12907,13150,
Africa Western and Central,AFW,Total fisheries production (metric tons),ER.FSH.PROD.MT,3243503.98,3706566.44,3642143.61,3667626.7,3523165.88,3701624.19,3894655.4,
Angola,AGO,Total fisheries production (metric tons),ER.FSH.PROD.MT,487145,532914,444858,401696,376515,531522,471672,
Albania,ALB,Total fisheries production (metric tons),ER.FSH.PROD.MT,12612.09,12993.2,14906.3,15011.5,16711.16,18282.5,17551.5,
Andorra,AND,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Arab World,ARB,Total fisheries production (metric tons),ER.FSH.PROD.MT,4216636.79,4300806.83,4701188.86,4905436.74,4979224.23,5205588.83,5216473.19,
United Arab Emirates,ARE,Total fisheries production (metric tons),ER.FSH.PROD.MT,75971.9,78542,78845,75357,74435.78,70606.94,69034.96,
Argentina,ARG,Total fisheries production (metric tons),ER.FSH.PROD.MT,758899.48,838628.76,838592.31,828687.19,839673.99,856252.8,853774.74,
Armenia,ARM,Total fisheries production (metric tons),ER.FSH.PROD.MT,20139,17054,17369,18270,19100.01,19700,25000,
American Samoa,ASM,Total fisheries production (metric tons),ER.FSH.PROD.MT,2272.27,2337.88,2048.42,1454.78,886.17,1210.02,1329.13,
Antigua and Barbuda,ATG,Total fisheries production (metric tons),ER.FSH.PROD.MT,3185,3185,3185,3185,3135,3225,3250,
Australia,AUS,Total fisheries production (metric tons),ER.FSH.PROD.MT,264180.41,249987.44,267244.82,257007.49,279170.58,289687.29,290289.75,
Austria,AUT,Total fisheries production (metric tons),ER.FSH.PROD.MT,3833.4,4211.9,4341.6,4605.04,4891.91,5270.39,5068.72,
Azerbaijan,AZE,Total fisheries production (metric tons),ER.FSH.PROD.MT,1375,1660,2092,1708.4,2622,1971,2256,
Burundi,BDI,Total fisheries production (metric tons),ER.FSH.PROD.MT,22185,19439,20755,20867,20079,20090,20475,
Belgium,BEL,Total fisheries production (metric tons),ER.FSH.PROD.MT,27014,24724,23116,21436,20162.8,18160,18953,
Benin,BEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,54133,52852.66,60223.14,79377.35,77101.91,78765,80655,
Burkina Faso,BFA,Total fisheries production (metric tons),ER.FSH.PROD.MT,22106,25625,27752,28403,29805,30609,30938,
Bangladesh,BGD,Total fisheries production (metric tons),ER.FSH.PROD.MT,3878324,4134436,4276641,4384219,4503371,4621228.04,4758731,
Bulgaria,BGR,Total fisheries production (metric tons),ER.FSH.PROD.MT,24431.98,24127.79,24512.9,26830.44,21347.59,24182.89,15105.16,
Bahrain,BHR,Total fisheries production (metric tons),ER.FSH.PROD.MT,17314.21,18520.95,21092.05,18315.97,17248,17051.02,19892.55,
"Bahamas, The",BHS,Total fisheries production (metric tons),ER.FSH.PROD.MT,11634,11485.94,11005.53,10151.91,7439.16,8705.85,9346.22,
Bosnia and Herzegovina,BIH,Total fisheries production (metric tons),ER.FSH.PROD.MT,4908.6,4105.4,3983.8,4302.4,4120.8,4163.6,4264.9,
Belarus,BLR,Total fisheries production (metric tons),ER.FSH.PROD.MT,11887.3,11126.8,12381.3,10252.7,10205.38,9116.13,7520.4,
Belize,BLZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,92575.52,121924.06,217532.04,214565.32,187468.89,192113.13,205894.24,
Bermuda,BMU,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Bolivia,BOL,Total fisheries production (metric tons),ER.FSH.PROD.MT,10430,10680,11150,11725,11220,11453,,
Brazil,BRA,Total fisheries production (metric tons),ER.FSH.PROD.MT,1269588.96,1297727.44,1307036.09,1334878.88,1361646.13,1419484.76,1497393,
Barbados,BRB,Total fisheries production (metric tons),ER.FSH.PROD.MT,1760.98,1765.04,1757.46,900.24,1059.25,867.07,857.04,
Brunei Darussalam,BRN,Total fisheries production (metric tons),ER.FSH.PROD.MT,14239.63,13496,14811.99,14623.57,16591.07,20062.92,21080,
Bhutan,BTN,Total fisheries production (metric tons),ER.FSH.PROD.MT,197,238,223.62,209.77,181.5,194.1,199.88,
Botswana,BWA,Total fisheries production (metric tons),ER.FSH.PROD.MT,53,58,63,73,179,201,209,
Central African Republic,CAF,Total fisheries production (metric tons),ER.FSH.PROD.MT,29195,29190,29204,29204,27704,28210,29215,
Canada,CAN,Total fisheries production (metric tons),ER.FSH.PROD.MT,1087523.97,1045716.16,1045463.69,1040635.66,935145.97,944369.17,870639.83,
Central Europe and the Baltics,CEB,Total fisheries production (metric tons),ER.FSH.PROD.MT,751686.06,707320.53,699930,711868.27,679416.39,667846.97,649552.9,
Switzerland,CHE,Total fisheries production (metric tons),ER.FSH.PROD.MT,3584,3665,3396,3740.44,3844.03,3849.93,3985.93,
Channel Islands,CHI,Total fisheries production (metric tons),ER.FSH.PROD.MT,4484.65,4108.2,4669.6,4428.2,3180.72,3332.51,3480,
Chile,CHL,Total fisheries production (metric tons),ER.FSH.PROD.MT,2876719.41,3554763.22,3658914.81,3787588.99,3688721.13,3834716.59,4214240.49,
China,CHN,Total fisheries production (metric tons),ER.FSH.PROD.MT,78337639.43,79935166.11,80966168.45,82593752.45,83929521.5,85948133.98,88567716.02,
Cote d'Ivoire,CIV,Total fisheries production (metric tons),ER.FSH.PROD.MT,108944.32,99748.74,113787.03,115014.87,80009.14,109992.91,106143.34,
Cameroon,CMR,Total fisheries production (metric tons),ER.FSH.PROD.MT,235505,270592,287453,303861.82,290138,300138,309153,
"Congo, Dem. Rep.",COD,Total fisheries production (metric tons),ER.FSH.PROD.MT,240598,241580,241880,242290,222440,233860,,
"Congo, Rep.",COG,Total fisheries production (metric tons),ER.FSH.PROD.MT,87477,95727,99374,71080.84,71537.35,70330,65110.79,
Colombia,COL,Total fisheries production (metric tons),ER.FSH.PROD.MT,176066,206746.5,214337.22,283097.95,271273.45,322551.18,312511.99,
Comoros,COM,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Cabo Verde,CPV,Total fisheries production (metric tons),ER.FSH.PROD.MT,27938.73,18617,26593.23,17195.32,19507.25,11651.87,7793.94,
Costa Rica,CRI,Total fisheries production (metric tons),ER.FSH.PROD.MT,33988.61,33622.83,36377.57,39814.97,42948.32,46907.39,50441.11,
Caribbean small states,CSS,Total fisheries production (metric tons),ER.FSH.PROD.MT,320518.33,387552.31,353483.21,334742.29,302504.19,304080.65,321345.44,
Cuba,CUB,Total fisheries production (metric tons),ER.FSH.PROD.MT,52759,52758,51249,45468.3,46096.2,40717.4,29923.9,
Curacao,CUW,Total fisheries production (metric tons),ER.FSH.PROD.MT,35534.66,32626.13,37911.03,29213.84,23051.82,25027.24,8826.8,
Cayman Islands,CYM,Total fisheries production (metric tons),ER.FSH.PROD.MT,135,135,135,204,207,210,213,
Cyprus,CYP,Total fisheries production (metric tons),ER.FSH.PROD.MT,8118.86,9031.11,8837.05,9638.34,8669.87,9263.59,8894.92,
Czechia,CZE,Total fisheries production (metric tons),ER.FSH.PROD.MT,24459,25242,25401,24707,24130,24305,22640,
Germany,DEU,Total fisheries production (metric tons),ER.FSH.PROD.MT,312986,284216,313409,265150.8,244352.57,220301.27,206266,
Djibouti,DJI,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Dominica,DMA,Total fisheries production (metric tons),ER.FSH.PROD.MT,815,784,762,860.4,527.1,289.47,292.5,
Denmark,DNK,Total fisheries production (metric tons),ER.FSH.PROD.MT,706560,941987,825635,678639.49,775529.39,507002.33,496114.2,
Dominican Republic,DOM,Total fisheries production (metric tons),ER.FSH.PROD.MT,16735.68,18363.54,16929.42,19231.01,17494.13,21416.88,21760,
Algeria,DZA,Total fisheries production (metric tons),ER.FSH.PROD.MT,101964.45,108342.63,120166.41,105388.57,76954.71,83979.29,85998,
East Asia & Pacific (excluding high income),EAP,Total fisheries production (metric tons),ER.FSH.PROD.MT,122028131.91,124549634.3,126161759.1,127757552.75,128615528.29,129849873.74,132464361.14,
Early-demographic dividend,EAR,Total fisheries production (metric tons),ER.FSH.PROD.MT,61275702.07,63752502.68,68391330.78,66795438.59,66924724.25,68914735.2,68318781.57,
East Asia & Pacific,EAS,Total fisheries production (metric tons),ER.FSH.PROD.MT,131607842.23,134536316.89,136298377.13,137804179.03,138496058.31,139808586.24,138230416.14,
Europe & Central Asia (excluding high income),ECA,Total fisheries production (metric tons),ER.FSH.PROD.MT,5907228.89,6185561.48,6507837.25,6722169.83,6769710,6919749.04,6789560.56,
Europe & Central Asia,ECS,Total fisheries production (metric tons),ER.FSH.PROD.MT,17741353.7,19058974.14,19299255.14,18690121.12,18611359.8,18755161.37,18002738.75,
Ecuador,ECU,Total fisheries production (metric tons),ER.FSH.PROD.MT,1160576.3,1108129,1179204,1304010.22,1410927.23,1767241.89,1811374.27,
"Egypt, Arab Rep.",EGY,Total fisheries production (metric tons),ER.FSH.PROD.MT,1706274.33,1777824.17,1967517,2038992.34,2010580,2001959.4,1992627,
Euro area,EMU,Total fisheries production (metric tons),ER.FSH.PROD.MT,4398799.77,4522080.75,4459823.01,4141186,3788300.58,3856092.32,3815972.95,
Eritrea,ERI,Total fisheries production (metric tons),ER.FSH.PROD.MT,3309.13,3932.59,5651.24,5444.4,3744,1493.16,1594.54,
Spain,ESP,Total fisheries production (metric tons),ER.FSH.PROD.MT,1201985.88,1266209.09,1287623.92,1193951.31,1074907.26,1083032.77,1085165.22,
Estonia,EST,Total fisheries production (metric tons),ER.FSH.PROD.MT,76523.73,83690.46,87994.66,87816.97,75232.59,73085,74739.56,
Ethiopia,ETH,Total fisheries production (metric tons),ER.FSH.PROD.MT,50516.24,56127.1,63885.77,59430.89,60536,73880,102470,
European Union,EUU,Total fisheries production (metric tons),ER.FSH.PROD.MT,5678511.75,6073842.01,5882773,5369335.72,5099260.27,4881035.23,4778832.52,
Fragile and conflict affected situations,FCS,Total fisheries production (metric tons),ER.FSH.PROD.MT,6966901.27,7291053.58,7302264.02,7257023.69,7128164.31,6936603.09,6606422.46,
Finland,FIN,Total fisheries production (metric tons),ER.FSH.PROD.MT,207293.17,205211.9,189364.09,179213.09,163621.9,147681.4,138964.6,
Fiji,FJI,Total fisheries production (metric tons),ER.FSH.PROD.MT,45011,47745,43029.41,42003.87,37919.42,33215.58,32837.2,
France,FRA,Total fisheries production (metric tons),ER.FSH.PROD.MT,739095.69,742968.11,766121.48,720260.92,669512.04,704111.64,735365.83,
Faroe Islands,FRO,Total fisheries production (metric tons),ER.FSH.PROD.MT,651768,788758,739031,748204.3,739927.1,656362.9,714655.1,
"Micronesia, Fed. Sts.",FSM,Total fisheries production (metric tons),ER.FSH.PROD.MT,88690,101417,137920.65,181769.51,193747.86,166333.97,,
Gabon,GAB,Total fisheries production (metric tons),ER.FSH.PROD.MT,31050,29050,29062,29062,28952,29912,31097,
United Kingdom,GBR,Total fisheries production (metric tons),ER.FSH.PROD.MT,901821.86,953015.59,889214.31,852817.59,843243.01,864698.11,,
Georgia,GEO,Total fisheries production (metric tons),ER.FSH.PROD.MT,46513.69,139465.38,205905,254200.15,209176.9,200365.45,200531.57,
Ghana,GHA,Total fisheries production (metric tons),ER.FSH.PROD.MT,376396.57,425182.76,435373.37,369665.72,434696.15,482141.55,652309.27,
Gibraltar,GIB,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Guinea,GIN,Total fisheries production (metric tons),ER.FSH.PROD.MT,159879.8,321741.9,293693.6,360643.2,310705,326270,336050,
"Gambia, The",GMB,Total fisheries production (metric tons),ER.FSH.PROD.MT,58296,60496,49559,56231.66,51022.79,53206.97,53988.5,
Guinea-Bissau,GNB,Total fisheries production (metric tons),ER.FSH.PROD.MT,28460,38375,52278.67,60170,62407.45,63236,63850,
Equatorial Guinea,GNQ,Total fisheries production (metric tons),ER.FSH.PROD.MT,6470.29,6392,6422.61,6432.72,5973.28,6322.12,6625.15,
Greece,GRC,Total fisheries production (metric tons),ER.FSH.PROD.MT,199241.6,203840,210080.72,211995.28,203213.19,203557.44,207502.38,
Grenada,GRD,Total fisheries production (metric tons),ER.FSH.PROD.MT,2762.87,2462.65,2560.92,2071.39,1916.39,1234.08,1881.61,
Greenland,GRL,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Guatemala,GTM,Total fisheries production (metric tons),ER.FSH.PROD.MT,39430.59,41735.72,42392.13,46714.26,45140.61,43665.51,58570.04,
Guam,GUM,Total fisheries production (metric tons),ER.FSH.PROD.MT,179.8,252.42,197.85,195.2,155.14,130.69,459.5,
Guyana,GUY,Total fisheries production (metric tons),ER.FSH.PROD.MT,42478.7,43673.27,41694.76,39330.02,40124.53,34357.98,37206.85,
High income,HIC,Total fisheries production (metric tons),ER.FSH.PROD.MT,31761028.6,34141941.35,34275246.38,33613175.35,32683687.39,33124432.84,28369828.46,
"Hong Kong SAR, China",HKG,Total fisheries production (metric tons),ER.FSH.PROD.MT,147033,131726,128432,126716.1,123262.7,119187.85,80561.18,
Honduras,HND,Total fisheries production (metric tons),ER.FSH.PROD.MT,67074,76152,77123,80047,86997.1,84947.8,93386,
Heavily indebted poor countries (HIPC),HPC,Total fisheries production (metric tons),ER.FSH.PROD.MT,4121518.88,4572582.56,4599292.03,4814063.93,4733833.23,5050758.38,4974978.11,
Croatia,HRV,Total fisheries production (metric tons),ER.FSH.PROD.MT,90614.65,87089.77,90271.36,85063.37,93394.77,89459.67,90839.22,
Haiti,HTI,Total fisheries production (metric tons),ER.FSH.PROD.MT,17800,17910,17780,17905,17910,17830,18395,
Hungary,HUN,Total fisheries production (metric tons),ER.FSH.PROD.MT,21338.97,23893.5,23101.3,22119.31,23856.43,22447.27,23544.79,
IBRD only,IBD,Total fisheries production (metric tons),ER.FSH.PROD.MT,152712499.9,157579675.42,163649769.92,164291759.32,165800427.43,170435209.43,173015878,
IDA & IBRD total,IBT,Total fisheries production (metric tons),ER.FSH.PROD.MT,168429919.16,174360522.46,180650707.34,181517260.35,182961714.58,187727644.87,190326789.91,
IDA total,IDA,Total fisheries production (metric tons),ER.FSH.PROD.MT,15717419.26,16780847.04,17000937.42,17225501.03,17161287.15,17292435.44,17310911.91,
IDA blend,IDB,Total fisheries production (metric tons),ER.FSH.PROD.MT,2736762.56,3016577.58,2932767.15,2822105.83,2700235.22,2729610.56,2769982.48,
Indonesia,IDN,Total fisheries production (metric tons),ER.FSH.PROD.MT,22583433.92,23156059.1,23132926.86,22760687.73,21834094.6,21718023.23,22032424.56,
IDA only,IDX,Total fisheries production (metric tons),ER.FSH.PROD.MT,12980656.7,13764269.46,14068170.27,14403395.2,14461051.93,14562824.88,14540929.43,
Isle of Man,IMN,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
India,IND,Total fisheries production (metric tons),ER.FSH.PROD.MT,10898848.01,11763822.01,12584085,13410100.02,13299483.01,14433204.98,15774324.95,
Not classified,INX,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Ireland,IRL,Total fisheries production (metric tons),ER.FSH.PROD.MT,300099.79,321762.94,288136.86,276357.34,246252.76,276257.85,247552.73,
"Iran, Islamic Rep.",IRN,Total fisheries production (metric tons),ER.FSH.PROD.MT,1087850.99,1195366.99,1268111.63,1282681.01,1271400.05,1258202.73,,
Iraq,IRQ,Total fisheries production (metric tons),ER.FSH.PROD.MT,60135,67034,62673,62338,57474.17,66373.69,67550,
Iceland,ISL,Total fisheries production (metric tons),ER.FSH.PROD.MT,1108095,1224644.7,1298685,1100942.8,1079695.19,1224383.4,1486086.47,
Israel,ISR,Total fisheries production (metric tons),ER.FSH.PROD.MT,20502,20051,19073,18986,17296,16910,15895,
Italy,ITA,Total fisheries production (metric tons),ER.FSH.PROD.MT,353550.86,354014.39,351936.88,318456.34,266967.25,297590.87,276306.43,
Jamaica,JAM,Total fisheries production (metric tons),ER.FSH.PROD.MT,18259,20614,16966.63,14636.45,13801.67,14115.2,13474.49,
Jordan,JOR,Total fisheries production (metric tons),ER.FSH.PROD.MT,1721.14,1854.45,1994.86,2618.73,2638.95,2810,3257,
Japan,JPN,Total fisheries production (metric tons),ER.FSH.PROD.MT,4364069.77,4299760.7,4415827.01,4206676.31,4266442.05,4213918.69,3910316.4,
Kazakhstan,KAZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,43212.54,44095.99,42936.41,52577.69,49401.94,46895.72,52130.25,
Kenya,KEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,150416.19,167987.14,153140.52,151000.83,154928.36,169726.9,174699.47,
Kyrgyz Republic,KGZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,2019.7,2190,2577.7,4320,5120,10322,20729.3,
Cambodia,KHM,Total fisheries production (metric tons),ER.FSH.PROD.MT,802450,856320,910155.01,908508.01,936300,856399.99,864050,
Kiribati,KIR,Total fisheries production (metric tons),ER.FSH.PROD.MT,174275,162701,197902.53,238700.32,212752.3,191130.54,203296.05,
St. Kitts and Nevis,KNA,Total fisheries production (metric tons),ER.FSH.PROD.MT,65769.93,84960.17,1046.87,654.5,650.04,676.03,674,
"Korea, Rep.",KOR,Total fisheries production (metric tons),ER.FSH.PROD.MT,3230567.39,3694266.23,3681843.76,3824685.84,3710381.41,3742566.29,,
Kuwait,KWT,Total fisheries production (metric tons),ER.FSH.PROD.MT,5393.16,4183,3078.65,3483.84,3557,3987,2350,
Latin America & Caribbean (excluding high income),LAC,Total fisheries production (metric tons),ER.FSH.PROD.MT,9618863,10272660.51,13550865.63,11339780.73,12321522.23,13704430.49,12682730.43,
Lao PDR,LAO,Total fisheries production (metric tons),ER.FSH.PROD.MT,164000,168869,179208,187701,200021,206008,,
Lebanon,LBN,Total fisheries production (metric tons),ER.FSH.PROD.MT,5326,4652,3736,3559.8,3388,3516,3558,
Liberia,LBR,Total fisheries production (metric tons),ER.FSH.PROD.MT,14063.1,12489.1,14807.29,16989.03,32691.68,26319.14,30712.99,
Libya,LBY,Total fisheries production (metric tons),ER.FSH.PROD.MT,29929.39,31883.99,32154.06,32345,31813.55,31961.33,32595,
