"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000105156683687689","0.000105156683687689","0.000105","0.000105","0.000105157","0.0001052","",
"Africa Eastern and Southern","AFE","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.93633827535982","4.94569027956894","4.94568706077219","5.23588024426614","5.03656369796849","5.04051231712238","","",
"Afghanistan","AFG","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004860726","0.00492982714246822","0.00492982714246822","0.00493","0.00493","0.004929823","0.0049298","",
"Albania","ALB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.71443113","2.71803297867369","2.71803297867369","2.839279","2.839279","2.839279175","2.8392792","",
"Andorra","AND","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.98293745357672","4.06190907511517","4.06190907511517","4.06265755043518","3.64326352548187","3.64766252861276","","",
"United Arab Emirates","ARE","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.269708103","11.2703538609644","11.2703538609644","11.27034","11.48045","11.48044777","11.4804478","",
"Argentina","ARG","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01993961","3.79699243606319","3.79699243606319","11.76767","11.76653","11.76652527","11.767086","",
"Armenia","ARM","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.710817667","8.71587580537483","8.71587580537483","8.715876","0.002208","8.723742485","8.7237425","",
"Antigua and Barbuda","ATG","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.191718498","0.181504473350006","0.181504473350006","0.181504","0.299509","0.299942076","0.2999421","",
"Australia","AUS","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.65344145","40.5594116036044","40.5594116036044","40.55941","40.84466","44.33663559","44.3366356","",
"Austria","AUT","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.436531485","0.436929518301171","0.436929518301171","0.436929","0.436929","0.436928868","0.4369289","",
"Burundi","BDI","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.6511789","36.6552430210351","36.6552430210351","36.65342","36.65342","36.65341568","38.0590172","",
"Benin","BEN","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","",
"Burkina Faso","BFA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.356940135","5.35719019951986","5.35719019951986","5.356943","5.356943","5.356942654","5.3569427","",
"Bulgaria","BGR","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.103059545","8.10330994468942","8.10330994468942","8.10862","8.108338","8.108338356","8.1083384","",
"Bahrain","BHR","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.244628446","1.24223918679232","1.24223918679232","1.242278","1.242278","1.242277741","21.1257343","",
"Bahamas, The","BHS","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.565663569","7.92288620534516","7.92288620534516","7.922884","7.922884","7.922884464","7.9228845","",
"Bosnia and Herzegovina","BIH","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","",
"Belarus","BLR","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.08005561","10.0788752290615","10.0788752290615","10.07892","11.01918","11.01918316","11.0191832","",
"Bermuda","BMU","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.032990607","5.64206970825242E-05","5.64206970825242E-05","5.6E-05","5.6E-05","5.64E-05","5.64E-05","",
"Bolivia","BOL","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.684944305","26.6241067049733","26.6241067049733","26.6241","26.82149","26.82148552","26.8214855","",
"Barbados","BRB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00594531","0.00584651219433888","0.00584651219433888","0.005578","0.005578","0.005578455","0.0055785","",
"Brunei Darussalam","BRN","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.202347228","0.201102067315263","0.201102067315263","0.201099","0.201099","0.2010988","0.2010988","",
"Bhutan","BTN","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.871872218","0.871881853190504","0.871881853190504","2.907388","8.784922","8.857775688","9.0630465","",
"Central Europe and the Baltics","CEB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9876983265479","20.9487757841186","19.199308509922","20.9503523320477","18.8849260930773","18.8845986620575","","",
"Switzerland","CHE","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.59520309","28.814450666394","28.814450666394","41.19151","41.32516","41.32516098","41.3541069","",
"China","CHN","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.766775077","5.40683189597192","5.40683189597192","5.406831","5.479009","5.479008675","5.4790087","",
"Cote d'Ivoire","CIV","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.074352759","0.0745659769547534","0.0745659769547534","0.074566","0.072576","0.072575644","0.0725756","",
"Cameroon","CMR","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.407166611","3.40964063973876","3.40964063973876","11.46265","10.8919","10.89189816","10.8918982","",
"Congo, Dem. Rep.","COD","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.233690654","0.236439195438816","0.236439195438816","0.236432","0.236432","0.236431941","0.2364319","",
"Congo, Rep.","COG","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.205932229","3.2117029732529","3.2117029732529","3.211738","3.010546","3.010546446","3.0105464","",
"Colombia","COL","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.063793258","17.0698862847978","17.0698862847978","17.06084","17.1657","17.16570282","17.0900021","",
"Comoros","COM","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.022960018","0.0226364027578958","0.0226364027578958","0.022636","0.374477","0.374477267","0.3744773","",
"Cabo Verde","CPV","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000676993988023627","0.000676993988023627","0.000677","0.000677","0.000676994","0.000677","",
"Costa Rica","CRI","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.833521087","0.833447452118705","0.833447452118705","2.614376","2.728769","2.728768587","28.9516144","",
"Caribbean small states","CSS","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15818443627366","1.39319343853239","1.39319343853239","1.39840043148118","1.44818013322145","1.44817743293952","","",
"Cuba","CUB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.324744631","4.3249505259467","4.3249505259467","3.851971","3.852249","3.852249146","3.8522491","",
"Curacao","CUW","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.032749304","0.0341709310928601","0.0341709310928601","0.038174","0.038174","0.038173836","0.0381738","",
"Cayman Islands","CYM","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.077755622","0.0776734150587337","0.0776734150587337","0.077673","0.077673","0.077673122","0.0776731","",
"Cyprus","CYP","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.123118249","0.122715523666451","0.122715523666451","0.123078","8.620539","8.620538712","8.6205378","",
"Czechia","CZE","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.35655161","45.3573960418849","45.3573960418849","45.38045","45.38863","45.46042633","45.4581184","",
"Djibouti","DJI","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.540455974","0.167867459666831","0.167867459666831","0.167865","0.167865","0.167864516","0.1678645","",
"Dominica","DMA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.013913431","0.105277967308817","0.105277967308817","0.034827","0.034789","0.034776829","0.0333271","",
"Denmark","DNK","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.84814939","17.8489925277439","17.8489925277439","17.91984","18.32221","18.32213974","18.3222065","",
"Dominican Republic","DOM","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.08469123","17.9579055499101","17.9579055499101","17.95776","17.95776","17.95775986","17.276762","",
"Algeria","DZA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.085275945","0.0854831025889078","0.0854831025889078","0.085483","0.068023","0.068022594","0.0680226","",
"East Asia & Pacific (excluding high income)","EAP","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.02306857815316","4.23909256599744","4.23910463529243","4.15151052080295","4.34332289628422","4.40941016114973","","",
"Early-demographic dividend","EAR","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2151832480937","3.90037362104261","3.90035227104162","4.74418650302073","4.73794782387247","4.83618408024845","","",
"East Asia & Pacific","EAS","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.016680920821","16.874752899805","16.8747688659699","16.8227795011737","17.0391969786142","18.3482535073468","","",
"Europe & Central Asia (excluding high income)","ECA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.65442372039619","2.64655391473431","2.64655391473431","2.64682507242863","8.78288693479826","8.43445874217953","","",
"Europe & Central Asia","ECS","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7957981109719","5.55279397323292","5.48184724593579","5.73727797645965","10.8175669589982","10.7264719516594","","",
"Ecuador","ECU","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.05063954","13.3461718314051","13.3461718314051","13.34592","13.34592","13.34592247","19.1484432","",
"Egypt, Arab Rep.","EGY","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.951564185","4.95148884185994","4.95148884185994","4.951488","4.951488","4.951487541","4.9514875","",
"Euro area","EMU","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0153961328141","23.4369239216171","22.8347628683601","25.2916002317012","24.9784370117602","24.8771653460058","","",
"Eritrea","ERI","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","",
"Spain","ESP","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.729888608","8.37411263885255","8.37411263885255","12.68843","12.7587","12.75744438","12.7854223","",
"Estonia","EST","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.62632888","18.6204423838105","18.6204423838105","18.63492","18.77884","18.77870941","18.7789497","",
"Ethiopia","ETH","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6566787228206","21.4221211171249","21.0121590207669","22.676751112217","22.4841026902141","22.4685523549019","","",
"Fragile and conflict affected situations","FCS","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.13029428","10.5099633551937","10.5099633551937","12.11062","11.98687","11.98700523","11.9924765","",
"Fiji","FJI","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92441448","0.924879431405508","0.924879431405508","0.92488","0.92488","0.924879611","0.9248796","",
"France","FRA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.16684852","45.0457953940979","45.0457953940979","48.92877","50.35653","49.82694626","49.8158798","",
"Faroe Islands","FRO","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.010872809","0.0108312493723335","0.0108312493723335","0.010831","0.010831","0.010831232","0.0108312","",
"Micronesia, Fed. Sts.","FSM","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.017563565","0.0157723799070518","0.0157723799070518","0.015772","0.015772","0.01577238","0.0157724","",
"Gabon","GAB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.968998765","28.8271766191915","28.8271766191915","28.82714","28.82714","28.82713699","28.827137","",
"United Kingdom","GBR","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.23542286","28.8733055538075","28.8733055538075","29.16274","44.20283","44.20282745","44.0570869","",
"Georgia","GEO","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.667918104","0.667756100327337","0.667756100327337","0.667756","0.667756","0.667755842","0.6677558","",
"Ghana","GHA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.092609498","0.0974062095921647","0.0974062095921647","0.097406","0.096692","0.09669181","0.0966918","",
"Gibraltar","GIB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.889618","12.8217275107356","12.8217275107356","12.82936","0","0","0","",
"Guinea","GIN","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.529344095","0.529571455146597","0.529571455146597","0.52957","0.52957","0.52972877","0.5297288","",
"Gambia, The","GMB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.070343584","0.0696771265532355","0.0696771265532355","0.069679","0.60384","0.603840232","0.6038402","",
