Entity,Code,Year,Share of global plastics emitted to ocean
Africa,,2019,7.98931654
Albania,ALB,2019,0.159782247
Algeria,DZA,2019,0.589509708
Angola,AGO,2019,0.087803663
Antigua and Barbuda,ATG,2019,0.000204195
Argentina,ARG,2019,0.422376457
Asia,,2019,80.99356991
Australia,AUS,2019,0.003267113
Bahamas,BHS,2019,0.002041946
Bahrain,BHR,2019,0
Bangladesh,BGD,2019,2.515677038
Barbados,BRB,2019,0.004594378
Belgium,BEL,2019,0.003471308
Belize,BLZ,2019,0.038184384
Benin,BEN,2019,0.167337446
Bosnia and Herzegovina,BIH,2019,0.000612584
Brazil,BRA,2019,3.859175176
Brunei,BRN,2019,0.013681036
Bulgaria,BGR,2019,0.000714681
Burkina Faso,BFA,2019,0
Cambodia,KHM,2019,0.113634275
Cameroon,CMR,2019,1.0894801
Canada,CAN,2019,0.024299153
Cape Verde,CPV,2019,0
Chile,CHL,2019,0.032875325
China,CHN,2019,7.218992545
Colombia,COL,2019,0.044003929
Comoros,COM,2019,0
Congo,COG,2019,0.069017763
Costa Rica,CRI,2019,0.045943777
Cote d'Ivoire,CIV,2019,0.488433399
Croatia,HRV,2019,0.022869791
Cyprus,CYP,2019,0.000306292
Democratic Republic of Congo,COD,2019,0.042880859
Denmark,DNK,2019,0.000918876
Djibouti,DJI,2019,0.000408389
Dominica,DMA,2019,0.005411156
Dominican Republic,DOM,2019,0.640762544
EU-27,,2019,0.220223838
East Timor,TLS,2019,0.072999557
Ecuador,ECU,2019,0.115982513
Egypt,EGY,2019,0.252282385
El Salvador,SLV,2019,0.082494604
Equatorial Guinea,GNQ,2019,0.041349399
Eritrea,ERI,2019,0.00490067
Estonia,EST,2019,0.001225167
Europe,,2019,0.595431351
Fiji,FJI,2019,0.037265508
Finland,FIN,2019,0
France,FRA,2019,0.023992861
French Guiana,GUF,2019,0.000714681
Gabon,GAB,2019,0.045433291
Gambia,GMB,2019,0.042982956
Georgia,GEO,2019,0.000306292
Germany,DEU,2019,0.013681036
Ghana,GHA,2019,0.427277127
Greece,GRC,2019,0.022053013
Grenada,GRD,2019,0.013272647
Guadeloupe,GLP,2019,0.000408389
Guatemala,GTM,2019,0.729178791
Guinea,GIN,2019,0.239622322
Guinea-Bissau,GNB,2019,0.025218029
Guyana,GUY,2019,0.127213214
Haiti,HTI,2019,0.70743207
Honduras,HND,2019,0.24870898
Hong Kong,HKG,2019,0.011434896
Iceland,ISL,2019,0
India,IND,2019,12.91663349
Indonesia,IDN,2019,5.751446208
Iran,IRN,2019,0.094746278
Iraq,IRQ,2019,0.006840518
Ireland,IRL,2019,0.011741187
Israel,ISR,2019,0.00336921
Italy,ITA,2019,0.042268275
Jamaica,JAM,2019,0.238295057
Japan,JPN,2019,0.187348513
Jordan,JOR,2019,0.000102097
Kazakhstan,KAZ,2019,0.001327265
Kenya,KEN,2019,0.026443196
Kiribati,KIR,2019,0
Kuwait,KWT,2019,0.000714681
Latvia,LVA,2019,0.000918876
Lebanon,LBN,2019,0.069834541
Lesotho,LSO,2019,0
Liberia,LBR,2019,0.269332631
Libya,LBY,2019,0.089743511
Lithuania,LTU,2019,0.000714681
Macau,,2019,0.034815173
Madagascar,MDG,2019,0.079125394
Malaysia,MYS,2019,7.463107147
Maldives,MDV,2019,0
Malta,MLT,2019,0
Marshall Islands,MHL,2019,0
Martinique,MTQ,2019,0.00224614
Mauritania,MRT,2019,0.012966355
Mauritius,MUS,2019,0
Mexico,MEX,2019,0.358565656
Micronesia,,2019,0.003777599
Monaco,MCO,2019,0
Montenegro,MNE,2019,0
Morocco,MAR,2019,0.183775108
Mozambique,MOZ,2019,0.259735486
Myanmar,MMR,2019,0.259735486
Namibia,NAM,2019,0.000204195
Netherlands,NLD,2019,0.027668364
New Zealand,NZL,2019,0.006942615
Nicaragua,NIC,2019,0.149572519
Nigeria,NGA,2019,1.903093343
North America,,2019,4.499120942
North Korea,PRK,2019,0.005104864
Norway,NOR,2019,0
Oceania,,2019,0.370715232
Oman,OMN,2019,0.000102097
Pakistan,PAK,2019,0.089130928
Palau,PLW,2019,0.000714681
Palestine,PSE,2019,0.012047479
Panama,PAN,2019,0.534683468
Papua New Guinea,PNG,2019,0.312315587
Peru,PER,2019,0.026443196
Philippines,PHL,2019,36.38451062
Poland,POL,2019,0.002960821
Portugal,PRT,2019,0.007759393
Puerto Rico,PRI,2019,0.007248907
Qatar,QAT,2019,0
Reunion,REU,2019,0
Romania,ROU,2019,0.008167783
Russia,RUS,2019,0.055336727
Saint Kitts and Nevis,KNA,2019,0.000102097
Saint Lucia,LCA,2019,0.04584168
Saint Martin,,2019,0
Saint Vincent and the Grenadines,VCT,2019,0.00826988
Samoa,WSM,2019,0
Sao Tome and Principe,STP,2019,0.007861491
Saudi Arabia,SAU,2019,0.000306292
Senegal,SEN,2019,0.017254441
Seychelles,SYC,2019,0
Sierra Leone,SLE,2019,0.370000551
Singapore,SGP,2019,0.016743954
Sint Maarten,,2019,0
Slovakia,SVK,2019,0
Slovenia,SVN,2019,0.00112307
Solomon Islands,SLB,2019,0.010209728
Somalia,SOM,2019,0.000204195
South Africa,ZAF,2019,0.435547007
South America,,2019,5.513253248
South Korea,KOR,2019,0.039511648
Spain,ESP,2019,0.023992861
Sri Lanka,LKA,2019,0.985647164
Sudan,SDN,2019,0.010822312
Suriname,SUR,2019,0.171217143
Sweden,SWE,2019,0.003675502
Syria,SYR,2019,0.00449228
Taiwan,TWN,2019,0.054213657
Tanzania,TZA,2019,0.590632779
Thailand,THA,2019,2.328430622
Togo,TGO,2019,0.044514415
Tonga,TON,2019,0
Trinidad and Tobago,TTO,2019,0.363160033
Tunisia,TUN,2019,0.07024293
Turkey,TUR,2019,1.462951959
Ukraine,UKR,2019,0.087701566
United Arab Emirates,ARE,2019,0.001429362
United Kingdom,GBR,2019,0.07177439
United States,USA,2019,0.248198493
Uruguay,URY,2019,0.101893088
Venezuela,VEN,2019,0.611358527
Vietnam,VNM,2019,2.881287406
Western Sahara,ESH,2019,0.003879697
Yemen,YEM,2019,0.025728515
Zimbabwe,ZWE,2019,0