Regions,SubRegions,Measurement,Density Range,Density Class,Latitude,Longitude,Date
Mediterranean Sea,Ionian Sea,0.046479,0.005-1,Medium,37.991333,15.4615,9/24/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.912,0.005-1,Medium,41.379079,2.194423,01-03-2021 00:00
Mediterranean Sea,Balearic Sea,0.436,0.005-1,Medium,41.175724,1.526081,3/28/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,3.203462,01-Oct,High,44.218833,14.168,6/27/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.813379,0.005-1,Medium,43.168167,10.2515,7/15/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.192667,01-Oct,High,41.403637,2.2193,4/25/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.177333,0.005-1,Medium,41.397303,2.21315,4/14/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.504667,0.005-1,Medium,41.373055,2.191604,1/29/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.064788,0.005-1,Medium,38.013833,11.612333,9/19/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.219333,01-Oct,High,41.379079,2.194423,03-07-2021 00:00
Mediterranean Sea,Ionian Sea,0.206054,0.005-1,Medium,36.842167,15.347667,07-08-2021 00:00
Mediterranean Sea,Adriatic Sea,1.083976,01-Oct,High,40.202778,18.494444,6/28/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.018667,01-Oct,High,41.397303,2.21315,02-02-2021 00:00
Mediterranean Sea,Balearic Sea,1.834667,01-Oct,High,41.263153,1.963507,05-05-2021 00:00
Mediterranean Sea,Balearic Sea,0.675333,0.005-1,Medium,41.397303,2.21315,3/16/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.716667,01-Oct,High,41.575135,2.553135,3/14/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.857333,01-Oct,High,41.403637,2.2193,3/13/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.393552,0.005-1,Medium,43.046833,15.271,6/28/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.456912,0.005-1,Medium,38.583333,15.773,7/28/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.09,01-Oct,High,40.910469,0.833376,3/25/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.512617,0.005-1,Medium,38.7505,14.391667,07-09-2021 00:00
Mediterranean Sea,Western Basin,0.157077,0.005-1,Medium,43.314833,4.671167,10-05-2021 00:00
Mediterranean Sea,Ionian Sea,0.529742,0.005-1,Medium,40.275278,17.493333,4/17/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.314667,01-Oct,High,41.389383,2.203525,01-02-2021 00:00
Mediterranean Sea,Adriatic Sea,0.338072,0.005-1,Medium,45.421,13.282333,6/26/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.477333,01-Oct,High,41.379079,2.194423,1/24/2021 12:00:00 AM
Mediterranean Sea,Eastern Basin,0.362114,0.005-1,Medium,36.965833,13.902,9/21/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.686521,0.005-1,Medium,39.372,11.636,07-12-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.07108,0.005-1,Medium,38.439667,14.925667,9/25/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.262782,0.005-1,Medium,42.3425,6.501,09-11-2021 00:00
Mediterranean Sea,Balearic Sea,10.078667,>=10,Very High,41.373055,2.191604,04-01-2021 00:00
Mediterranean Sea,Balearic Sea,0.184,0.005-1,Medium,41.575135,2.553135,05-09-2021 00:00
Mediterranean Sea,Balearic Sea,0.848667,0.005-1,Medium,41.397303,2.21315,01-12-2021 00:00
Mediterranean Sea,Western Basin,0.015786,0.005-1,Medium,38.1745,10.5115,9/19/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.442667,0.005-1,Medium,41.263153,1.963507,03-08-2021 00:00
Mediterranean Sea,Balearic Sea,1.319333,01-Oct,High,41.397303,2.21315,2/27/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.109957,0.005-1,Medium,36.960333,15.4725,7/22/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.666638,0.005-1,Medium,41.989333,7.451333,10-02-2021 00:00
Mediterranean Sea,Adriatic Sea,0.137618,0.005-1,Medium,41.0245,17.374167,07-01-2021 00:00
Mediterranean Sea,Balearic Sea,2.977333,01-Oct,High,41.849824,3.147244,2/21/2021 12:00:00 AM
Mediterranean Sea,Alboran Sea,0.416761,0.005-1,Medium,36.3635,-4.835833,04-05-2021 00:00
Mediterranean Sea,Balearic Sea,0.399333,0.005-1,Medium,41.175724,1.526081,1/27/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.082305,0.005-1,Medium,40.038611,17.975556,4/25/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,3.243333,01-Oct,High,41.389383,2.203525,2/26/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.245333,0.005-1,Medium,42.377821,3.158952,4/19/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.036,01-Oct,High,41.465446,2.282388,04-03-2021 00:00
Mediterranean Sea,Balearic Sea,0.190667,0.005-1,Medium,40.910469,0.833376,02-03-2021 00:00
Mediterranean Sea,Ionian Sea,0.498871,0.005-1,Medium,37.595333,15.204667,07-08-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.78763,0.005-1,Medium,38.259167,15.081667,9/24/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.30879,0.005-1,Medium,40.012667,11.417333,07-12-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.34566,0.005-1,Medium,38.859333,15.936,9/26/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.298631,0.005-1,Medium,45.336667,13.318833,6/26/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,3.279333,01-Oct,High,41.465446,2.282388,2/25/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.564667,01-Oct,High,41.373055,2.191604,01-02-2021 00:00
Mediterranean Sea,Eastern Basin,0.109254,0.005-1,Medium,36.956667,14.11,9/21/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,3.541333,01-Oct,High,41.403637,2.2193,3/27/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.524865,0.005-1,Medium,38.067333,7.042,3/25/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.956667,0.005-1,Medium,41.397303,2.21315,1/16/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.193801,0.005-1,Medium,38.1185,10.761833,9/19/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.156605,0.005-1,Medium,39.8085,18.486833,07-02-2021 00:00
Mediterranean Sea,Balearic Sea,0.738667,0.005-1,Medium,41.263153,1.963507,3/28/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.460667,0.005-1,Medium,41.389383,2.203525,04-03-2021 00:00
Mediterranean Sea,Western Basin,0.332265,0.005-1,Medium,42.154167,7.142833,10-02-2021 00:00
Mediterranean Sea,Ionian Sea,0.333747,0.005-1,Medium,37.2615,15.270167,6/18/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,9.202,01-Oct,High,41.397303,2.21315,03-06-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.967838,0.005-1,Medium,38.94,11.450667,9/29/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.741333,0.005-1,Medium,41.575135,2.553135,2/19/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.171999,0.005-1,Medium,37.962667,15.4195,07-08-2021 00:00
Mediterranean Sea,Balearic Sea,0.15,0.005-1,Medium,41.175724,1.526081,02-12-2021 00:00
Mediterranean Sea,Ionian Sea,0.122164,0.005-1,Medium,40.0025,17.944444,4/25/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.078,0.005-1,Medium,42.377821,3.158952,02-02-2021 00:00
Mediterranean Sea,Western Basin,1.126667,01-Oct,High,42.377821,3.158952,05-04-2021 00:00
Mediterranean Sea,Ionian Sea,0.167929,0.005-1,Medium,36.925167,15.460167,7/23/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.280667,01-Oct,High,41.465446,2.282388,4/23/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.014,01-Oct,High,41.379079,2.194423,01-12-2021 00:00
Mediterranean Sea,Balearic Sea,2.733333,01-Oct,High,41.397303,2.21315,05-08-2021 00:00
Mediterranean Sea,Adriatic Sea,1.655813,01-Oct,High,44.076833,14.304167,6/27/2021 12:00:00 AM
Mediterranean Sea,Eastern Basin,0.344158,0.005-1,Medium,37.252333,13.144667,9/21/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,26.676667,>=10,Very High,41.373055,2.191604,2/28/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.597923,0.005-1,Medium,39.001,9.2785,9/18/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.87668,0.005-1,Medium,36.8935,15.326,7/16/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,1.921671,01-Oct,High,40.225278,18.527778,6/28/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.343292,0.005-1,Medium,40.7305,10.1585,9/30/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.200767,0.005-1,Medium,39.254167,8.224,9/14/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.454,0.005-1,Medium,41.263153,1.963507,02-06-2021 00:00
Mediterranean Sea,Balearic Sea,2.43,01-Oct,High,41.397303,2.21315,02-11-2021 00:00
Mediterranean Sea,Balearic Sea,0.526,0.005-1,Medium,41.575135,2.553135,3/30/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,9.464,01-Oct,High,41.263153,1.963507,5/23/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.122667,0.005-1,Medium,42.377821,3.158952,3/24/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.190422,0.005-1,Medium,40.26,17.456667,4/17/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.232273,0.005-1,Medium,38.710667,17.685833,07-04-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.760417,0.005-1,Medium,38.690833,12.840333,07-11-2021 00:00
Mediterranean Sea,Western Basin,0.143505,0.005-1,Medium,43.327167,4.400167,10-05-2021 00:00
Mediterranean Sea,Balearic Sea,27.134,>=10,Very High,41.389383,2.203525,1/17/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.412,0.005-1,Medium,40.910469,0.833376,01-04-2021 00:00
Mediterranean Sea,Western Basin,0.18,0.005-1,Medium,42.377821,3.158952,01-04-2021 00:00
Mediterranean Sea,Balearic Sea,7.64,01-Oct,High,41.397303,2.21315,5/13/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.862085,0.005-1,Medium,38.206167,13.6005,9/26/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.079333,01-Oct,High,41.397303,2.21315,01-03-2021 00:00
Mediterranean Sea,Western Basin,0.614031,0.005-1,Medium,42.039,6.942333,09-11-2021 00:00
Mediterranean Sea,Balearic Sea,0.930667,0.005-1,Medium,41.575135,2.553135,4/28/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.942667,0.005-1,Medium,41.263153,1.963507,01-02-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.279242,0.005-1,Medium,38.806333,9.479833,9/18/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.065333,01-Oct,High,41.379079,2.194423,02-02-2021 00:00
Mediterranean Sea,Western Basin,2.36587,01-Oct,High,39.055333,8.322167,9/16/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.324,0.005-1,Medium,41.575135,2.553135,1/14/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.478667,0.005-1,Medium,41.263153,1.963507,2/20/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.697014,0.005-1,Medium,40.778833,17.826667,07-01-2021 00:00
Mediterranean Sea,Western Basin,0.436909,0.005-1,Medium,41.869167,7.723333,10-02-2021 00:00
Mediterranean Sea,Balearic Sea,0.953333,0.005-1,Medium,41.849824,3.147244,04-11-2021 00:00
Mediterranean Sea,Western Basin,0.22866,0.005-1,Medium,38.585167,0.588667,04-02-2021 00:00
Mediterranean Sea,Ionian Sea,0.16317,0.005-1,Medium,40.242778,17.410833,4/17/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.420667,0.005-1,Medium,42.377821,3.158952,04-02-2021 00:00
Mediterranean Sea,Balearic Sea,2.372,01-Oct,High,40.910469,0.833376,2/18/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.167273,0.005-1,Medium,38.706667,15.8535,9/26/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.416667,0.005-1,Medium,41.465446,2.282388,03-10-2021 00:00
Mediterranean Sea,Ionian Sea,0.111062,0.005-1,Medium,38.42,16.913333,07-04-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.411917,0.005-1,Medium,38.823667,15.918167,9/26/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,3.729333,01-Oct,High,41.373055,2.191604,1/16/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.181333,0.005-1,Medium,41.175724,1.526081,4/18/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.754,0.005-1,Medium,41.403637,2.2193,05-08-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.056846,0.005-1,Medium,43.765167,9.959,7/15/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.855333,01-Oct,High,41.397303,2.21315,4/17/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.627129,0.005-1,Medium,38.336833,15.521667,9/24/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.283038,0.005-1,Medium,38.025167,11.2825,9/19/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.037333,01-Oct,High,41.397303,2.21315,1/27/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.029333,01-Oct,High,41.379079,2.194423,3/26/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.136214,0.005-1,Medium,39.733333,18.276833,07-03-2021 00:00
Mediterranean Sea,Balearic Sea,0.421333,0.005-1,Medium,41.849824,3.147244,1/24/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.452667,0.005-1,Medium,42.377821,3.158952,5/17/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.331779,0.005-1,Medium,40.731,8.047833,9/13/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.169886,0.005-1,Medium,40.039167,17.883333,4/25/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.175739,0.005-1,Medium,39.0755,11.1705,9/29/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.590667,0.005-1,Medium,41.263153,1.963507,4/18/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.677333,0.005-1,Medium,41.575135,2.553135,2/27/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.604667,01-Oct,High,41.397303,2.21315,3/27/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.243213,0.005-1,Medium,38.658,15.833333,7/30/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.936929,0.005-1,Medium,42.6785,15.473833,6/28/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.773862,0.005-1,Medium,38.637,14.523667,07-09-2021 00:00
Mediterranean Sea,Balearic Sea,0.204667,0.005-1,Medium,40.910469,0.833376,4/16/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.110665,0.005-1,Medium,42.289333,6.9055,10-02-2021 00:00
Mediterranean Sea,Balearic Sea,2.916,01-Oct,High,41.465446,2.282388,5/22/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.066667,0.005-1,Medium,42.377821,3.158952,2/19/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.124809,0.005-1,Medium,37.098667,15.329833,9/23/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.821333,01-Oct,High,41.397303,2.21315,03-11-2021 00:00
Mediterranean Sea,Adriatic Sea,0.308071,0.005-1,Medium,41.996167,15.7655,6/30/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.429333,01-Oct,High,41.403637,2.2193,1/24/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.188548,0.005-1,Medium,43.7995,14.554833,6/27/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.626766,0.005-1,Medium,38.5025,15.721833,7/28/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,12.002667,>=10,Very High,41.403637,2.2193,04-11-2021 00:00
Mediterranean Sea,Balearic Sea,2.601333,01-Oct,High,41.379079,2.194423,1/17/2021 12:00:00 AM
Mediterranean Sea,Western Basin,1.69382,01-Oct,High,43.158667,5.296167,09-10-2021 00:00
Mediterranean Sea,Balearic Sea,0.56,0.005-1,Medium,41.175724,1.526081,03-05-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.347309,0.005-1,Medium,38.385167,15.223667,9/24/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,2.019273,01-Oct,High,38.3725,15.758167,9/23/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.388667,01-Oct,High,41.397303,2.21315,2/20/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.670667,0.005-1,Medium,41.389383,2.203525,1/29/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.244216,0.005-1,Medium,44.715667,13.725333,6/27/2021 12:00:00 AM
Mediterranean Sea,Eastern Basin,1.632864,01-Oct,High,37.109833,13.5065,9/21/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.393604,0.005-1,Medium,36.929167,15.3425,7/22/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.195333,0.005-1,Medium,41.373055,2.191604,3/13/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.659117,0.005-1,Medium,39.208333,11.8425,07-12-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.274223,0.005-1,Medium,43.024333,10.410667,7/15/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.365369,0.005-1,Medium,40.221389,18.566667,6/28/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.276,0.005-1,Medium,41.263153,1.963507,1/16/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.014728,0.005-1,Medium,36.896,15.2445,6/25/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.158,0.005-1,Medium,42.377821,3.158952,03-05-2021 00:00
Mediterranean Sea,Balearic Sea,0.371333,0.005-1,Medium,41.575135,2.553135,1/30/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,18.319333,>=10,Very High,40.910469,0.833376,4/29/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.635333,0.005-1,Medium,41.379079,2.194423,04-09-2021 00:00
Mediterranean Sea,Balearic Sea,5.009333,01-Oct,High,41.397303,2.21315,5/22/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.702357,0.005-1,Medium,38.888833,8.561833,9/16/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,3.161333,01-Oct,High,41.397303,2.21315,04-06-2021 00:00
Mediterranean Sea,Western Basin,0.347719,0.005-1,Medium,39.545167,8.174,9/14/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,7.011284,01-Oct,High,38.782,15.9225,9/26/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.377333,0.005-1,Medium,40.910469,0.833376,1/19/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,3.239333,01-Oct,High,41.397303,2.21315,05-04-2021 00:00
Mediterranean Sea,Western Basin,0.107333,0.005-1,Medium,42.377821,3.158952,1/17/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,1.439939,01-Oct,High,38.801667,15.844667,9/27/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.205191,0.005-1,Medium,39.187167,10.924667,9/29/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.148626,0.005-1,Medium,41.150333,7.9905,09-12-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.182471,0.005-1,Medium,38.777667,11.7445,9/29/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.543033,0.005-1,Medium,40.72,17.971,07-01-2021 00:00
Mediterranean Sea,Balearic Sea,0.253333,0.005-1,Medium,41.379079,2.194423,2/18/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.199333,01-Oct,High,41.403637,2.2193,5/23/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.504,0.005-1,Medium,41.849824,3.147244,05-02-2021 00:00
Mediterranean Sea,Ionian Sea,0.232996,0.005-1,Medium,38.934833,17.934,07-04-2021 00:00
Mediterranean Sea,Balearic Sea,0.342,0.005-1,Medium,41.849824,3.147244,02-06-2021 00:00
Mediterranean Sea,Balearic Sea,0.326,0.005-1,Medium,40.910469,0.833376,03-11-2021 00:00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Unit: pieces/m3,,,,,,,
Ocean:  Atlantic ocean ,,,,,,,
Region: Mediterranean Sea,,,,,,,
Sampling Method: Manta net,,,,,,,
